BEACON,SECTOR NUMBER,SECTOR TYPE,SECTOR TITLE,FLEET ADVANCEMENT,TOTAL SHIPS DEFEATED,TOTAL SCRAP COLLECTED,TOTAL CREW HIRED,SCORE,HAZARDS,EVENT TEXT,STORE,SCRAP,HULL,FUEL,DRONE PARTS,MISSILES,CREW SIZE,OXYGEN LEVEL,POWER CAPACITY,SHIELDS CAPACITY,SHIELD POWER,SHIELD DAMAGE,ENGINES CAPACITY,ENGINES POWER,ENGINES DAMAGE,OXYGEN SYSTEM CAPACITY,OXYGEN SYSTEM POWER,OXYGEN SYSTEM DAMAGE,WEAPONS SYSTEM CAPACITY,WEAPONS SYSTEM POWER,WEAPONS SYSTEM DAMAGE,WEAPON SLOT 1,WEAPON SLOT 2,WEAPON SLOT 3,WEAPON SLOT 4,DRONE CONTROL SYSTEM CAPACITY,DRONE CONTROL SYSTEM POWER,DRONE CONTROL SYSTEM DAMAGE,DRONE SLOT 1,DRONE SLOT 2,MEDBAY SYSTEM CAPACITY,MEDBAY SYSTEM POWER,MEDBAY SYSTEM DAMAGE,TELEPORTER SYSTEM CAPACITY,TELEPORTER SYSTEM POWER,TELEPORTER SYSTEM DAMAGE,CLOAKING SYSTEM CAPACITY,CLOAKING SYSTEM POWER,CLOAKING SYSTEM DAMAGE,ARTILLERY SYSTEM CAPACITY,ARTILLERY SYSTEM POWER,ARTILLERY SYSTEM DAMAGE,CLONEBAY SYSTEM CAPACITY,CLONEBAY SYSTEM POWER,CLONEBAY SYSTEM DAMAGE,MINDCONTROL SYSTEM CAPACITY,MINDCONTROL SYSTEM POWER,MINDCONTROL SYSTEM DAMAGE,HACKING SYSTEM CAPACITY,HACKING SYSTEM POWER,HACKING SYSTEM DAMAGE,PILOT SYTEM CAPACITY,PILOT SYSTEM DAMAGE,SENSORS SYSTEM CAPACITY,SENSORS SYSTEM DAMAGE,DOORS SYSTEM CAPACITY,DOORS SYSTEM DAMAGE,BATTERY SYSTEM CAPACITY,BATTERY SYSTEM DAMAGE,AUGMENTS,CARGO,CREW MEMBER 1 NAME,CREW MEMBER 1 SPECIES,CREW MEMBER 1 HEALTH,CREW MEMBER 1 PILOT SKILL,CREW MEMBER 1 ENGINE SKILL,CREW MEMBER 1 SHIELD SKILL,CREW MEMBER 1 WEAPON SKILL,CREW MEMBER 1 REPAIR SKILL,CREW MEMBER 1 COMBAT SKILL,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,CREW MEMBER 1 PILOTED EVASIONS,CREW MEMBER 1 JUMPS SURVIVED,CREW MEMBER 1 SKILLS MASTERED,CREW MEMBER 2 NAME,CREW MEMBER 2 SPECIES,CREW MEMBER 2 HEALTH,CREW MEMBER 2 PILOT SKILL,CREW MEMBER 2 ENGINE SKILL,CREW MEMBER 2 SHIELD SKILL,CREW MEMBER 2 WEAPON SKILL,CREW MEMBER 2 REPAIR SKILL,CREW MEMBER 2 COMBAT SKILL,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,CREW MEMBER 2 PILOTED EVASIONS,CREW MEMBER 2 JUMPS SURVIVED,CREW MEMBER 2 SKILLS MASTERED,CREW MEMBER 3 NAME,CREW MEMBER 3 SPECIES,CREW MEMBER 3 HEALTH,CREW MEMBER 3 PILOT SKILL,CREW MEMBER 3 ENGINE SKILL,CREW MEMBER 3 SHIELD SKILL,CREW MEMBER 3 WEAPON SKILL,CREW MEMBER 3 REPAIR SKILL,CREW MEMBER 3 COMBAT SKILL,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,CREW MEMBER 3 PILOTED EVASIONS,CREW MEMBER 3 JUMPS SURVIVED,CREW MEMBER 3 SKILLS MASTERED,CREW MEMBER 4 NAME,CREW MEMBER 4 SPECIES,CREW MEMBER 4 HEALTH,CREW MEMBER 4 PILOT SKILL,CREW MEMBER 4 ENGINE SKILL,CREW MEMBER 4 SHIELD SKILL,CREW MEMBER 4 WEAPON SKILL,CREW MEMBER 4 REPAIR SKILL,CREW MEMBER 4 COMBAT SKILL,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,CREW MEMBER 4 PILOTED EVASIONS,CREW MEMBER 4 JUMPS SURVIVED,CREW MEMBER 4 SKILLS MASTERED,CREW MEMBER 5 NAME,CREW MEMBER 5 SPECIES,CREW MEMBER 5 HEALTH,CREW MEMBER 5 PILOT SKILL,CREW MEMBER 5 ENGINE SKILL,CREW MEMBER 5 SHIELD SKILL,CREW MEMBER 5 WEAPON SKILL,CREW MEMBER 5 REPAIR SKILL,CREW MEMBER 5 COMBAT SKILL,CREW MEMBER 5 REPAIRS,CREW MEMBER 5 COMBAT KILLS,CREW MEMBER 5 PILOTED EVASIONS,CREW MEMBER 5 JUMPS SURVIVED,CREW MEMBER 5 SKILLS MASTERED,CREW MEMBER 6 NAME,CREW MEMBER 6 SPECIES,CREW MEMBER 6 HEALTH,CREW MEMBER 6 PILOT SKILL,CREW MEMBER 6 ENGINE SKILL,CREW MEMBER 6 SHIELD SKILL,CREW MEMBER 6 WEAPON SKILL,CREW MEMBER 6 REPAIR SKILL,CREW MEMBER 6 COMBAT SKILL,CREW MEMBER 6 REPAIRS,CREW MEMBER 6 COMBAT KILLS,CREW MEMBER 6 PILOTED EVASIONS,CREW MEMBER 6 JUMPS SURVIVED,CREW MEMBER 6 SKILLS MASTERED,NEARBY SHIP TYPE,NEARBY SHIP HULL,NEARBY SHIP FUEL,NEARBY SHIP DRONE PARTS,NEARBY SHIP MISSILES,NEARBY SHIP CREW SIZE,OXYGEN LEVEL,NEARBY SHIP POWER CAPACITY,NEARBY SHIP SHIELDS CAPACITY,NEARBY SHIP SHIELD POWER,NEARBY SHIP SHIELD DAMAGE,NEARBY SHIP ENGINES CAPACITY,NEARBY SHIP ENGINES POWER,NEARBY SHIP ENGINES DAMAGE,NEARBY SHIP OXYGEN SYSTEM CAPACITY,NEARBY SHIP OXYGEN SYSTEM POWER,NEARBY SHIP OXYGEN SYSTEM DAMAGE,NEARBY SHIP WEAPONS SYSTEM CAPACITY,NEARBY SHIP WEAPONS SYSTEM POWER,NEARBY SHIP WEAPONS SYSTEM DAMAGE,NEARBY SHIP WEAPON SLOT 1,NEARBY SHIP WEAPON SLOT 2,NEARBY SHIP WEAPON SLOT 3,NEARBY SHIP WEAPON SLOT 4,NEARBY SHIP DRONE CONTROL SYSTEM CAPACITY,NEARBY SHIP DRONE CONTROL SYSTEM POWER,NEARBY SHIP DRONE CONTROL SYSTEM DAMAGE,DRONE SLOT 1,DRONE SLOT 2,DRONE SLOT 3,NEARBY SHIP MEDBAY SYSTEM CAPACITY,NEARBY SHIP MEDBAY SYSTEM POWER,NEARBY SHIP MEDBAY SYSTEM DAMAGE,NEARBY SHIP TELEPORTER SYSTEM CAPACITY,NEARBY SHIP TELEPORTER SYSTEM POWER,NEARBY SHIP TELEPORTER SYSTEM DAMAGE,NEARBY SHIP CLOAKING SYSTEM CAPACITY,NEARBY SHIP CLOAKING SYSTEM POWER,NEARBY SHIP CLOAKING SYSTEM DAMAGE,NEARBY SHIP ARTILLERY SYSTEM CAPACITY,NEARBY SHIP ARTILLERY SYSTEM POWER,NEARBY SHIP ARTILLERY SYSTEM DAMAGE,NEARBY SHIP CLONEBAY SYSTEM CAPACITY,NEARBY SHIP CLONEBAY SYSTEM POWER,NEARBY SHIP CLONEBAY SYSTEM DAMAGE,NEARBY SHIP MINDCONTROL SYSTEM CAPACITY,NEARBY SHIP MINDCONTROL SYSTEM POWER,NEARBY SHIP MINDCONTROL SYSTEM DAMAGE,NEARBY SHIP HACKING SYSTEM CAPACITY,NEARBY SHIP HACKING SYSTEM POWER,NEARBY SHIP HACKING SYSTEM DAMAGE,NEARBY SHIP PILOT SYTEM CAPACITY,NEARBY SHIP PILOT SYSTEM DAMAGE,NEARBY SHIP SENSORS SYSTEM CAPACITY,NEARBY SHIP SENSORS SYSTEM DAMAGE,NEARBY SHIP DOORS SYSTEM CAPACITY,NEARBY SHIP DOORS SYSTEM DAMAGE,NEARBY SHIP BATTERY SYSTEM CAPACITY,NEARBY SHIP BATTERY SYSTEM DAMAGE,NEARBY SHIP AUGMENTS,ENEMY CREW MEMBER 1 NAME,ENEMY CREW MEMBER 1 SPECIES,ENEMY CREW MEMBER 1 HEALTH,CREW MEMBER 1 REPAIRS,CREW MEMBER 1 COMBAT KILLS,ENEMY CREW MEMBER 2 NAME,ENEMY CREW MEMBER 2 SPECIES,ENEMY CREW MEMBER 2 HEALTH,CREW MEMBER 2 REPAIRS,CREW MEMBER 2 COMBAT KILLS,ENEMY CREW MEMBER 3 NAME,ENEMY CREW MEMBER 3 SPECIES,ENEMY CREW MEMBER 3 HEALTH,CREW MEMBER 3 REPAIRS,CREW MEMBER 3 COMBAT KILLS,ENEMY CREW MEMBER 4 NAME,ENEMY CREW MEMBER 4 SPECIES,ENEMY CREW MEMBER 4 HEALTH,CREW MEMBER 4 REPAIRS,CREW MEMBER 4 COMBAT KILLS,HAS SURRENDERED,HULL DAMAGE NEEDED FOR SURRENDER,IS TRYING TO ESCAPE,HULL DAMAGE NEEDED FOR ESCAPE ATTEMPT,ENEMY BOARDING ATTEMPTS,ENEMY BOARDING STRENGTH
14,1,CIVILIAN,Civilian Sector,77%,6,115,4,563,"","There are no more life-signs remaining on the ship. You strip it of useful materials.","",60,9,13,1,2,4,49,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,50,0,0,9,0,3,2,3,2,0,13,0,Nikola,Crystal,70,0,0,0,0,6,8,6,7,0,13,1,Stelly,Crystal,57,0,2,0,0,2,2,2,1,0,13,0,Ferry,Mantis,70,3,0,0,0,1,6,1,6,6,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_FAT_P,9,16,3,10,0,100,11,2,2,0,2,2,0,2,2,0,2,0,0,BEAM 1,LASER HEAVY 1,,,3,0,0,BOARDER,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,3,false,2,0,2
15,1,CIVILIAN,Civilian Sector,87%,7,131,4,632,"","There are no more life-signs remaining on the ship. You strip it of useful materials.","",76,7,15,1,3,4,0,8,2,2,0,2,2,0,1,0,1,1,0,1,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,94,0,0,9,0,3,4,3,2,0,14,0,Nikola,Crystal,96,0,0,0,0,6,9,6,8,0,14,1,Stelly,Crystal,125,0,2,0,0,2,4,2,2,0,14,0,Ferry,Mantis,100,3,0,0,0,1,7,1,7,6,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_SKINNY_DLC,9,16,0,10,0,100,11,3,2,0,2,2,0,2,2,0,3,0,3,LASER BURST 2 A,LASER BURST 1,,,0,0,0,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,,1,2
16,2,HOSTILE,Abandoned Sector,0%,7,131,4,647,"","This sector has been largely abandoned since a series of battles decimated the local population. An unusual alien race is reportedly scavenging in the area. You'd best be on guard.","",76,7,14,1,3,4,20,8,2,2,0,2,2,0,1,1,0,1,0,1,,,,,0,0,0,,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,"CRYSTAL SHARDS, ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,15,0,Nikola,Crystal,125,0,0,0,0,7,9,7,8,0,15,1,Stelly,Crystal,125,0,2,0,0,2,4,2,2,0,15,0,Ferry,Mantis,100,3,0,0,0,1,7,1,7,6,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,HOSTILE,Abandoned Sector,0%,7,131,4,662,"","You arrive at an empty space station, no doubt abandoned due to the Lanius threat. Life signatures are detected at the ship depot and you spot a few crude signs stating Everything Must Go!","System: drones, battery, clonebay, Weapon: MISSILES HULL, BEAM 2, LASER CHARGEGUN 2, Crew: Human, Mantis, Human, Drone: REPAIR, COMBAT FIRE, DEFENSE 1, ",5,20,13,1,3,4,23,8,2,2,0,2,2,0,1,1,0,1,0,1,,,,,2,0,0,DEFENSE 1,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,16,0,Nikola,Crystal,125,0,0,0,0,7,9,7,8,0,16,1,Stelly,Crystal,125,0,2,0,0,2,4,2,2,0,16,0,Ferry,Mantis,100,3,0,0,0,1,7,1,7,6,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,HOSTILE,Abandoned Sector,1%,7,143,4,695,"","You use your ship's Cloaking to try to prevent the defense system from getting a lock. However before you are able to safely disable the system your cloaking gives out and you are forced to destroy the satellite. No one was harmed but they don't seem happy with your solution.","",13,22,15,1,5,4,32,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,2,0,0,DEFENSE 1,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,17,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,17,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,17,0,Ferry,Mantis,100,3,0,0,0,1,7,1,7,6,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2,HOSTILE,Abandoned Sector,10%,7,173,4,755,"","Thank you. Here, have this extra scrap as payment.","",43,22,11,1,5,4,33,8,2,2,0,2,2,0,1,1,0,1,0,0,,,,,2,0,0,DEFENSE 1,,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,18,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,18,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,18,0,Ferry,Mantis,100,3,0,0,0,1,7,1,7,6,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JELLY_BUTTON,10,16,0,10,2,100,9,2,2,0,1,1,0,2,1,0,3,0,0,LASER BURST 2 A,ION 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"SLUG GEL",Maxwell,Slug,100,0,0,Maria,Slug,100,0,0,,,,,,,,,,,false,,false,,0,1
20,2,HOSTILE,Abandoned Sector,20%,8,200,4,840,"Allied Planetary Defense System","You finish off your assailant with the help of the Anti-Ship Battery but the fight rages on in the distance. You'd best leave before you get dragged into it again.","",30,22,13,1,5,4,100,9,3,2,0,2,2,0,1,1,0,1,0,0,,,,,2,2,0,DEFENSE 1,,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,19,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,19,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,19,0,Ferry,Mantis,100,4,0,0,0,1,7,1,7,8,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,HOSTILE,Abandoned Sector,30%,8,200,4,855,"","You come across a human civilian ship preparing to leave the sector. They message you, We're getting out of here! There was some cult rambling about the spreading of the disease, Humanitis. They forcefully boarded our ship and tried to open all of our airlocks, shouting, Be purged! Is nowhere safe anymore?","",30,22,12,1,5,4,100,9,3,2,0,2,2,0,1,1,0,1,0,0,,,,,2,0,0,DEFENSE 1,,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,20,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,20,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,20,0,Ferry,Mantis,100,4,0,0,0,1,7,1,7,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,HOSTILE,Abandoned Sector,40%,8,223,4,905,"","With help from the computer, you are able to keep a comfortable distance between you and the Lanius ship, and you are able to gather resources from the debris field without conflict.","",23,22,14,2,5,4,100,9,4,2,0,2,2,0,1,1,0,1,0,0,,,,,2,0,0,DEFENSE 1,,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","DEFENSE 2",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,21,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,21,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,21,0,Ferry,Mantis,100,4,0,0,0,1,7,1,7,8,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,HOSTILE,Abandoned Sector,50%,8,223,4,920,"","A trading depot is set up near the beacon. A surprising number of military ships guard the station. You pick up an advertisement on a wide band channel, Ship parts, repairs, refueling, souvenirs - we got it all. Check out the only store not afraid of scavengers this side of Omacron 6.","Drone: COMBAT BEAM, DEFENSE 1, COMBAT 1, System: battery, clonebay, mind, ",8,22,13,2,5,4,100,9,4,2,0,2,2,0,1,1,0,1,0,0,,,,,2,0,0,DEFENSE 1,COMBAT 1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,22,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,22,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,22,0,Ferry,Mantis,100,4,0,0,0,1,7,1,7,8,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,HOSTILE,Abandoned Sector,60%,9,236,4,984,"","You find a weapon system on their ship. With no crew to stop you, you can install it on your own.","",21,22,12,2,5,4,100,9,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,,,,2,0,0,DEFENSE 1,COMBAT 1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,77,0,0,9,0,3,4,3,2,0,23,0,Nikola,Crystal,71,0,0,0,0,8,9,8,8,0,23,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,23,0,Ferry,Mantis,56,4,0,0,0,1,10,1,10,8,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_FAT,10,16,2,10,0,100,11,3,2,0,3,3,0,1,1,0,1,0,0,BEAM 1,,,,3,0,0,COMBAT BEAM,ANTI DRONE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,,false,,0,2
25,2,HOSTILE,Abandoned Sector,70%,9,236,4,999,"","An image of some weak and hungry humans comes onto your screen. Those metal bastards think they can just absorb half of our engines and leave us here to die? I hope you understand the need to take your ship by force.","",1,22,11,2,5,4,100,10,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,,,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,4,3,2,0,24,0,Nikola,Crystal,125,0,0,0,0,8,9,8,8,0,24,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,24,0,Ferry,Mantis,100,4,0,0,0,1,10,1,10,8,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2,HOSTILE,Abandoned Sector,79%,9,236,4,1014,"","You thank them for the information and prepare to jump.","",1,22,10,2,5,4,100,10,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,,,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,124,0,0,9,0,3,5,3,3,0,25,0,Nikola,Crystal,123,0,0,0,0,8,10,8,9,0,25,1,Stelly,Crystal,110,0,2,0,0,3,4,3,2,0,25,0,Ferry,Mantis,100,4,0,0,0,1,11,1,11,8,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,HOSTILE,Abandoned Sector,89%,9,257,4,1061,"","The computer matches the rotation and speed of the target ship, and you take the opportunity to gather what residual scrap you can without awakening the Lanius crew. You get an excellent haul!","",22,22,9,3,6,4,100,10,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,,,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,5,3,3,0,26,0,Nikola,Crystal,125,0,0,0,0,8,10,8,9,0,26,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,26,0,Ferry,Mantis,100,4,0,0,0,1,11,1,11,8,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANAEROBIC_SCOUT,8,16,0,10,2,0,8,2,2,0,1,1,0,0,0,0,3,0,0,SHOTGUN,LASER BURST 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,"O2 MASKS",Jon,Lanius,100,0,0,Magmaros,Lanius,100,0,0,,,,,,,,,,,false,3,false,4,0,1
28,2,HOSTILE,Abandoned Sector,99%,9,268,4,1092,"","Holy crap! A weapon is just floating in space!","",33,22,8,3,6,4,100,10,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,LASER BURST 5,,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,5,3,3,0,27,0,Nikola,Crystal,125,0,0,0,0,8,10,8,9,0,27,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,27,0,Ferry,Mantis,100,4,0,0,0,1,11,1,11,8,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,CIVILIAN,Civilian Sector,0%,9,268,4,1107,"","Welcome to a new sector! Get to the exit beacon and jump to the next sector before the pursuing Rebels catch you!","",33,22,7,3,6,4,100,10,4,4,0,2,2,0,1,1,0,1,0,0,ION 4,LASER BURST 5,,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,5,3,3,0,28,0,Nikola,Crystal,125,0,0,0,0,8,10,8,9,0,28,1,Stelly,Crystal,125,0,2,0,0,3,4,3,2,0,28,0,Ferry,Mantis,100,4,0,0,0,1,11,1,11,8,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,CIVILIAN,Civilian Sector,1%,10,284,4,1176,"","You find a weapon system on their ship. With no crew to stop you, you can install it on your own.","",49,22,6,3,6,4,80,10,4,2,0,2,1,0,1,0,0,1,0,0,ION 4,LASER BURST 5,LASER HEAVY 1,,2,0,0,DEFENSE 1,COMBAT 1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,60,0,0,9,0,3,5,3,3,0,29,0,Nikola,Crystal,65,0,0,0,0,8,10,8,9,0,29,1,Stelly,Crystal,125,0,2,0,0,3,5,3,3,0,29,0,Ferry,Mantis,56,4,0,0,0,1,13,1,13,8,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBEL_SKINNY_DLC,12,16,0,10,0,100,10,3,2,0,2,0,0,2,1,0,3,0,0,SHOTGUN,LASER HEAVY 1,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,3,false,2,0,2
31,3,CIVILIAN,Civilian Sector,6%,11,321,4,1277,"","With the crew dead, you are able to take the fuel out of storage. You also take all the scrap you can manage.","",46,22,9,2,6,4,100,10,4,4,0,2,1,0,1,1,0,2,0,0,LASER HEAVY 1,ION 4,LASER BURST 5,,2,2,0,DEFENSE 1,COMBAT 1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,87,0,0,9,0,3,6,3,4,0,30,0,Nikola,Crystal,100,0,0,0,0,8,11,8,10,0,30,1,Stelly,Crystal,95,0,2,0,0,3,5,3,3,0,30,0,Ferry,Mantis,100,4,0,0,0,1,14,1,14,8,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FED_BOMBER_P,11,16,0,10,0,100,15,5,4,0,3,3,0,2,2,0,4,0,0,SHOTGUN,LASER BURST 2 A,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,4,false,5,0,3
32,3,CIVILIAN,Civilian Sector,11%,11,339,4,1319,"","The station is a storage site for various resources. You salvage everything possible.","",64,22,11,2,10,4,100,10,4,4,0,2,2,0,1,1,0,2,0,0,LASER HEAVY 1,ION 4,LASER BURST 5,,2,0,0,DEFENSE 1,COMBAT 1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,"ION ARMOR","",GM Faux,Crystal,125,0,0,9,0,3,6,3,4,0,31,0,Nikola,Crystal,125,0,0,0,0,8,11,8,10,0,31,1,Stelly,Crystal,125,0,2,0,0,3,5,3,3,0,31,0,Ferry,Mantis,100,4,0,0,0,1,14,1,14,8,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO_ASSAULT_DLC,10,16,4,10,0,0,14,5,4,0,2,1,0,0,0,0,5,0,0,ION 2,LASER CHAINGUN,BOMB 1,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"",,,,,,,,,,,,,,,,,,,,,false,1,false,,0,0
